City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,flinders,-34.5833,150.8552,80.19,64,54,1.99,AU,1675210165
84,norman wells,65.282,-126.8329,-21.24,98,44,6.06,CA,1675210165
85,zyryanovsk,49.7386,84.2719,0.23,95,100,1.07,KZ,1675210166
86,husavik,66.0449,-17.3389,28.47,94,100,17.92,IS,1675210166
87,carauari,-4.8828,-66.8958,72.46,96,100,2.84,BR,1675210167
88,petropavlovsk-kamchatskiy,53.0452,158.6483,1.99,72,20,6.71,RU,1675209932
89,ostrovnoy,68.0531,39.5131,19.17,96,88,4.47,RU,1675210167
90,beruwala,6.4788,79.9828,75.16,88,100,13.02,LK,1675210168
91,bloemhof,-27.6469,25.607,65.71,77,84,8.28,ZA,1675210169
92,airai,-8.9266,125.4092,68.09,80,94,1.05,TL,1675210169
93,georgetown,5.4112,100.3354,78.73,78,20,2.3,MY,1675210027
94,matucana,-11.85,-76.4,59.14,96,100,6.22,PE,1675210170
95,ritchie,-29.038,24.6028,69.39,66,100,13.42,ZA,1675210170
96,broome,42.2506,-75.833,22.46,76,0,5.01,US,1675210170
97,soyo,-6.1349,12.3689,79.74,83,60,8.01,AO,1675210171
98,vestmannaeyjar,63.4427,-20.2734,31.51,62,100,14.65,IS,1675210171
99,taoudenni,22.6783,-3.9836,58.86,18,56,13.38,ML,1675210172
100,kodiak,57.79,-152.4072,38.71,93,100,8.05,US,1675210172
101,malakal,9.5334,31.6605,80.74,16,8,6.06,SS,1675210173
102,kiryas joel,41.342,-74.1679,31.98,64,40,5.75,US,1675210173
103,rudbar,30.15,62.6,56.01,47,0,18.05,AF,1675210174
104,dhidhdhoo,6.8833,73.1,80.19,77,100,10.45,MV,1675210174
105,aerzen,52.0495,9.2586,42.39,85,70,15.26,DE,1675210175
106,jalu,29.0331,21.5482,52.59,55,17,14.85,LY,1675210175
107,castro,-24.7911,-50.0119,63.48,99,100,2.19,BR,1675210176
108,pacific grove,36.6177,-121.9166,60.48,56,0,6.91,US,1675209366
109,tres arroyos,-38.3739,-60.2798,64.2,87,67,11.3,AR,1675210176
110,preobrazheniye,42.9019,133.9064,23.16,92,100,7.29,RU,1675210177
111,wajid,3.8093,43.2471,73.58,39,2,11.86,SO,1675210177
112,chuy,-33.6971,-53.4616,71.82,89,15,7.67,UY,1675210177
113,beringovskiy,63.05,179.3167,21.13,96,67,7.02,RU,1675210178
114,oltu,40.5498,42.0013,30.79,92,100,1.21,TR,1675210178
115,port elizabeth,-33.918,25.5701,68.31,99,15,1.99,ZA,1675210179
116,san jeronimo,-11.9472,-75.2829,54.27,81,92,2.71,PE,1675210179
117,kutum,14.2,24.6667,66.94,14,14,7.49,SD,1675210180
118,mananjary,-21.2167,48.3333,76.44,88,100,11.59,MG,1675210180
119,peoria,40.7667,-89.7668,15.24,53,0,0.0,US,1675209936
120,zhigansk,66.7697,123.3711,-22.02,98,100,1.1,RU,1675210181
121,torbay,47.6666,-52.7314,33.58,92,100,6.91,CA,1675210181
122,asau,46.4333,26.4,31.12,93,57,5.93,RO,1675210182
123,atherton,53.5237,-2.4935,46.35,79,53,4.0,GB,1675210182
124,yumen,40.2833,97.2,19.94,40,85,4.16,CN,1675210182
125,hermanus,-34.4187,19.2345,61.81,93,10,4.81,ZA,1675210183
126,cherskiy,68.75,161.3,-9.83,100,97,0.78,RU,1675210183
127,palmares do sul,-30.2578,-50.5097,74.66,88,3,7.54,BR,1675210184
128,hobart,-42.8794,147.3294,58.05,86,75,20.71,AU,1675210011
129,mount isa,-20.7333,139.5,80.37,74,100,5.75,AU,1675210185
130,arraial do cabo,-22.9661,-42.0278,76.59,84,52,27.07,BR,1675210185
131,khatanga,71.9667,102.5,-42.9,100,75,4.41,RU,1675210186
